"","ID","DOB","SEX","STATUS","NEUTER","ISTART","NSTART","IEND","NEND","HD","ED","CCL","LSA","MCT","OSA","HSA","PYO","UI","MC"
"46","GR024xy",2000-03-02,"Male","< 6 mo.",2000-07-01,NA,2006-04-24,NA,2007-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","GR025xy",2000-07-13,"Male","< 6 mo.",2000-11-11,NA,2007-08-27,NA,2008-03-03,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","GR026xy",2003-11-22,"Male","< 6 mo.",2004-03-22,NA,2006-08-23,NA,2006-11-06,"38901",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","GR019xx",1999-07-10,"Female","< 6 mo.",1999-11-10,NA,2005-02-08,NA,2005-02-09,NA,NA,NA,"38377",NA,NA,NA,NA,NA,NA
"50","GR020xx",2003-02-16,"Female","< 6 mo.",2003-06-20,NA,2008-06-23,NA,2008-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","GR027xy",2001-04-27,"Male","< 6 mo.",2001-08-29,NA,2009-07-13,NA,2009-07-16,NA,NA,NA,"invalid",NA,NA,NA,NA,NA,NA
"52","GR021xx",1999-09-27,"Female","< 6 mo.",2000-02-01,NA,2005-01-31,NA,2005-11-03,NA,NA,NA,NA,"38078",NA,NA,NA,NA,NA
"53","GR028xy",1999-12-05,"Male","< 6 mo.",2000-04-10,NA,2002-06-20,NA,2003-08-22,"invalid",NA,NA,"37408","37408",NA,NA,NA,NA,NA
"54","GR476xx",2009-08-11,"Female","< 6 mo.",2009-12-16,NA,2011-06-27,NA,2012-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","GR022xx",2004-09-18,"Female","< 6 mo.",2005-01-24,NA,2005-12-05,NA,2005-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","GR029xy",2009-03-03,"Male","< 6 mo.",2009-07-09,NA,2010-06-29,NA,2010-08-02,NA,"40392",NA,NA,NA,NA,NA,NA,NA,NA
"57","GR030xy",2002-11-18,"Male","< 6 mo.",2003-03-27,NA,2011-03-14,NA,2011-03-14,NA,NA,NA,NA,NA,NA,"40615",NA,NA,NA
"58","GR023xx",1996-01-21,"Female","< 6 mo.",1996-06-01,NA,2004-05-24,NA,2006-12-20,"invalid",NA,"38052",NA,NA,NA,NA,NA,NA,NA
"59","GR024xx",2000-02-01,"Female","< 6 mo.",2000-06-12,NA,2001-05-10,NA,2005-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","GR477xx",2011-03-25,"Female","< 6 mo.",2011-08-04,NA,2012-07-11,NA,2012-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","GR031xy",2001-02-22,"Male","< 6 mo.",2001-07-05,NA,2002-04-03,NA,2002-06-05,"37349","37349",NA,NA,NA,NA,NA,NA,NA,NA
"62","GR032xy",2004-06-11,"Male","< 6 mo.",2004-10-22,NA,2011-08-18,NA,2011-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","GR033xy",2009-12-09,"Male","< 6 mo.",2010-04-21,NA,2010-12-28,NA,2012-12-15,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","GR034xy",2001-04-24,"Male","< 6 mo.",2001-09-05,NA,2009-07-30,NA,2010-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","GR035xy",2004-07-29,"Male","< 6 mo.",2004-12-10,NA,2006-11-29,NA,2006-11-29,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","GR025xx",2004-10-07,"Female","< 6 mo.",2005-02-20,NA,2009-07-13,NA,2010-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","GR026xx",2007-06-01,"Female","< 6 mo.",2007-10-15,NA,2008-06-11,NA,2012-06-05,NA,NA,NA,"40987",NA,NA,NA,NA,"invalid",NA
"68","GR036xy",1999-12-23,"Male","< 6 mo.",2000-05-07,NA,2001-01-08,NA,2001-02-22,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","GR037xy",2011-02-11,"Male","< 6 mo.",2011-06-27,NA,2012-03-02,NA,2012-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","GR038xy",2000-04-14,"Male","< 6 mo.",2000-08-28,NA,2001-07-19,NA,2002-06-03,NA,"37012",NA,NA,NA,NA,NA,NA,NA,NA
"71","GR039xy",2003-07-01,"Male","< 6 mo.",2003-11-14,NA,2008-03-26,NA,2008-07-01,NA,NA,NA,"39515",NA,NA,NA,NA,NA,NA
"72","GR027xx",2005-04-25,"Female","< 6 mo.",2005-09-09,NA,2008-04-20,NA,2008-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","GR040xy",2005-07-13,"Male","< 6 mo.",2005-11-29,NA,2009-04-22,NA,2009-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","GR480xx",2008-08-01,"Female","< 6 mo.",2008-12-18,NA,2010-01-12,NA,2010-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","GR549xy",2001-04-28,"Male","< 6 mo.",2001-09-14,NA,2012-04-17,NA,2012-04-26,NA,NA,NA,"invalid","invalid",NA,NA,NA,NA,NA
"76","GR041xy",2001-01-01,"Male","< 6 mo.",2001-05-21,NA,2003-09-15,NA,2007-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","GR028xx",2002-01-09,"Female","< 6 mo.",2002-05-30,NA,2005-09-20,NA,2011-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","GR042xy",2003-10-27,"Male","< 6 mo.",2004-03-16,NA,2009-11-24,NA,2009-11-24,NA,NA,NA,NA,NA,NA,"40141",NA,NA,NA
"79","GR043xy",2005-12-26,"Male","< 6 mo.",2006-05-16,NA,2007-03-06,NA,2007-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","GR044xy",2005-11-15,"Male","< 6 mo.",2006-04-06,NA,2008-01-01,NA,2008-03-19,NA,"39448",NA,NA,NA,NA,NA,NA,NA,NA
"81","GR029xx",2002-10-25,"Female","< 6 mo.",2003-03-18,NA,2006-11-29,NA,2006-12-22,NA,NA,"39010",NA,NA,NA,NA,NA,NA,NA
"82","GR045xy",2000-10-01,"Male","< 6 mo.",2001-02-22,NA,2006-10-11,NA,2006-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","GR046xy",2002-10-25,"Male","< 6 mo.",2003-03-18,NA,2006-01-11,NA,2010-04-28,NA,NA,"38636",NA,NA,NA,NA,NA,NA,NA
"84","GR047xy",2003-06-21,"Male","< 6 mo.",2003-11-12,NA,2006-02-06,NA,2007-01-10,"38877","38877",NA,NA,NA,NA,NA,NA,NA,NA
"85","GR030xx",2000-11-13,"Female","< 6 mo.",2001-04-07,NA,2007-08-07,NA,2008-06-25,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","GR031xx",2004-07-01,"Female","< 6 mo.",2004-11-24,NA,2006-05-22,NA,2006-05-22,NA,NA,"invalid",NA,NA,NA,NA,NA,NA,NA
"87","GR048xy",2004-02-13,"Male","< 6 mo.",2004-07-08,NA,2009-09-03,NA,2009-09-04,NA,NA,NA,"39995",NA,NA,NA,NA,NA,NA
"88","GR032xx",2006-03-08,"Female","< 6 mo.",2006-08-02,NA,2007-06-27,NA,2007-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","GR049xy",2002-05-07,"Male","< 6 mo.",2002-10-01,NA,2008-05-19,NA,2008-07-16,NA,NA,"39771",NA,NA,NA,NA,NA,NA,NA
"90","GR050xy",2011-03-03,"Male","< 6 mo.",2011-07-28,NA,2012-03-17,NA,2012-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","GR051xy",2001-10-16,"Male","< 6 mo.",2002-03-13,NA,2009-06-01,NA,2010-10-30,"39958",NA,NA,NA,NA,NA,"40151",NA,"invalid",NA
"92","GR052xy",2003-01-01,"Male","< 6 mo.",2003-05-29,NA,2007-11-01,NA,2012-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","GR482xx",2008-12-30,"Female","< 6 mo.",2009-05-27,NA,2011-05-07,NA,2012-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","GR033xx",2003-09-10,"Female","< 6 mo.",2004-02-06,NA,2007-09-25,NA,2007-09-26,"39352",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","GR034xx",2003-12-10,"Female","< 6 mo.",2004-05-07,NA,2007-03-27,NA,2007-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","GR035xx",2001-11-19,"Female","< 6 mo.",2002-04-18,NA,2002-12-12,NA,2002-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","GR036xx",2003-05-23,"Female","< 6 mo.",2003-10-20,NA,2007-05-03,NA,2007-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","GR053xy",2000-12-26,"Male","< 6 mo.",2001-05-25,NA,2004-07-22,NA,2005-02-03,NA,NA,NA,"38139",NA,NA,NA,NA,NA,NA
"99","GR054xy",2001-05-19,"Male","< 6 mo.",2001-10-16,NA,2009-04-06,NA,2009-09-03,NA,NA,NA,"39899",NA,NA,NA,NA,NA,NA
"100","GR055xy",2008-05-05,"Male","< 6 mo.",2008-10-02,NA,2010-02-08,NA,2010-12-11,"40462",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","GR037xx",2000-10-01,"Female","< 6 mo.",2001-03-01,NA,2007-10-16,NA,2007-10-16,NA,NA,NA,NA,"39350",NA,NA,NA,NA,NA
"102","GR038xx",2001-01-01,"Female","< 6 mo.",2001-06-01,NA,2009-07-09,NA,2009-07-09,NA,NA,NA,NA,NA,"invalid",NA,NA,NA,NA
"103","GR039xx",2002-10-01,"Female","< 6 mo.",2003-03-01,NA,2006-12-13,NA,2011-12-05,NA,NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"104","GR056xy",2001-10-01,"Male","< 6 mo.",2002-03-01,NA,2007-09-27,NA,2007-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","GR040xx",2002-06-01,"Female","< 6 mo.",2002-10-31,NA,2006-05-21,NA,2007-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","GR041xx",2004-06-19,"Female","< 6 mo.",2004-11-18,NA,2005-10-13,NA,2005-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","GR057xy",1993-07-08,"Male","< 6 mo.",1993-12-07,NA,2001-11-13,NA,2001-11-14,NA,NA,NA,NA,NA,NA,"37188",NA,NA,NA
"108","GR058xy",2007-07-01,"Male","< 6 mo.",2007-11-30,NA,2009-05-17,NA,2012-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","GR042xx",2007-10-26,"Female","< 6 mo.",2008-03-27,NA,2008-11-13,NA,2012-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","GR059xy",2002-02-03,"Male","< 6 mo.",2002-07-07,NA,2010-08-15,NA,2010-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","GR043xx",1999-09-15,"Female","< 6 mo.",2000-02-17,NA,2001-06-11,NA,2001-06-11,NA,"invalid",NA,NA,NA,NA,NA,NA,NA,NA
"112","GR044xx",2001-05-30,"Female","< 6 mo.",2001-11-01,NA,2005-09-21,NA,2012-01-24,"38585",NA,"38585",NA,NA,NA,NA,NA,NA,NA
"113","GR045xx",2004-01-19,"Female","< 6 mo.",2004-06-22,NA,2010-12-13,NA,2010-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","GR060xy",2006-04-04,"Male","< 6 mo.",2006-09-06,NA,2009-05-13,NA,2009-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","GR046xx",2007-01-31,"Female","< 6 mo.",2007-07-06,NA,2008-04-16,NA,2008-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","GR061xy",1998-09-16,"Male","< 6 mo.",1999-02-19,NA,2003-03-31,NA,2003-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","GR062xy",2003-04-05,"Male","< 6 mo.",2003-09-08,NA,2007-01-31,NA,2008-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","GR047xx",2005-07-12,"Female","< 6 mo.",2005-12-16,NA,2006-12-15,NA,2007-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","GR063xy",2008-03-28,"Male","< 6 mo.",2008-09-01,NA,2012-01-26,NA,2012-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","GR048xx",1995-09-25,"Female","< 6 mo.",1996-03-01,NA,2002-02-14,NA,2002-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","GR049xx",1999-11-19,"Female","< 6 mo.",2000-04-25,NA,2004-09-02,NA,2004-09-02,NA,"invalid",NA,NA,NA,NA,NA,NA,NA,NA
"122","GR064xy",1993-09-25,"Male","< 6 mo.",1994-03-02,NA,2002-08-19,NA,2003-04-14,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","GR065xy",1999-01-01,"Male","< 6 mo.",1999-06-08,NA,2000-11-08,NA,2004-02-03,"36892",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","GR066xy",2009-11-21,"Male","< 6 mo.",2010-04-28,NA,2011-03-23,NA,2011-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","GR486xx",2005-07-01,"Female","< 6 mo.",2005-12-07,NA,2007-02-12,NA,2012-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","GR050xx",1996-01-25,"Female","< 6 mo.",1996-07-03,NA,2002-05-20,NA,2002-05-22,"invalid","invalid","37396",NA,NA,NA,NA,NA,NA,NA
"127","GR051xx",2002-11-12,"Female","< 6 mo.",2003-04-21,NA,2004-05-11,NA,2004-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","GR052xx",2003-07-25,"Female","< 6 mo.",2004-01-01,NA,2004-12-17,NA,2011-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","GR053xx",2004-09-02,"Female","< 6 mo.",2005-02-09,NA,2005-09-02,NA,2011-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","GR054xx",2004-09-15,"Female","< 6 mo.",2005-02-22,NA,2006-06-29,NA,2011-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","GR055xx",2005-11-30,"Female","< 6 mo.",2006-05-09,NA,2006-12-04,NA,2007-05-09,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","GR067xy",2002-07-02,"Male","< 6 mo.",2002-12-09,NA,2006-06-01,NA,2007-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","GR068xy",2007-02-02,"Male","< 6 mo.",2007-07-12,NA,2009-11-02,NA,2011-03-09,NA,NA,"39881",NA,NA,NA,NA,NA,NA,NA
"134","GR056xx",1999-08-10,"Female","< 6 mo.",2000-01-18,NA,2000-08-16,NA,2000-08-16,"invalid","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"135","GR057xx",2009-08-28,"Female","< 6 mo.",2010-02-05,NA,2012-01-05,NA,2012-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","GR058xx",2011-03-24,"Female","< 6 mo.",2011-09-01,NA,2012-04-23,NA,2012-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","GR069xy",2006-09-25,"Male","< 6 mo.",2007-03-05,NA,2007-11-07,NA,2008-07-16,NA,"invalid",NA,NA,NA,NA,NA,NA,NA,NA
"138","GR070xy",2006-11-17,"Male","< 6 mo.",2007-04-27,NA,2008-01-09,NA,2008-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","GR487xx",1993-02-21,"Female","< 6 mo.",1993-08-01,NA,2004-11-01,NA,2004-11-01,NA,NA,NA,NA,"38142",NA,NA,NA,NA,NA
"140","GR488xx",2010-08-19,"Female","< 6 mo.",2011-01-27,NA,2011-09-19,NA,2011-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","GR059xx",1996-01-21,"Female","< 6 mo.",1996-07-01,NA,2002-04-01,NA,2007-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","GR060xx",2000-12-13,"Female","< 6 mo.",2001-05-24,NA,2007-08-06,NA,2007-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","GR061xx",2010-12-06,"Female","< 6 mo.",2011-05-17,NA,2011-12-16,NA,2012-12-11,NA,NA,NA,NA,NA,NA,NA,NA,"invalid",NA
"144","GR071xy",2001-07-01,"Male","< 6 mo.",2001-12-10,NA,2007-04-09,NA,2008-04-15,NA,NA,NA,NA,NA,"39160",NA,NA,NA,NA
"145","GR062xx",1997-06-01,"Female","< 6 mo.",1997-11-11,NA,2001-02-12,NA,2001-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","GR063xx",1998-12-15,"Female","< 6 mo.",1999-05-27,NA,2006-01-02,NA,2010-03-11,NA,NA,"38744",NA,NA,NA,NA,NA,NA,NA
"147","GR064xx",2001-10-13,"Female","< 6 mo.",2002-03-26,NA,2006-08-14,NA,2006-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","GR065xx",2003-10-14,"Female","< 6 mo.",2004-03-26,NA,2005-02-14,NA,2005-02-14,"invalid","invalid",NA,NA,NA,NA,NA,NA,NA,NA
"149","GR072xy",2003-04-06,"Male","< 6 mo.",2003-09-18,NA,2005-02-09,NA,2005-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","GR066xx",2003-07-02,"Female","< 6 mo.",2003-12-15,NA,2009-06-17,NA,2012-08-01,NA,NA,"invalid",NA,NA,NA,NA,NA,NA,NA
"151","GR067xx",2003-12-20,"Female","< 6 mo.",2004-06-03,NA,2006-08-16,NA,2008-09-24,"39575",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","GR073xy",2000-12-01,"Male","< 6 mo.",2001-05-16,NA,2005-09-14,NA,2005-09-30,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","GR074xy",2001-10-05,"Male","< 6 mo.",2002-03-20,NA,2002-11-04,NA,2002-11-04,"invalid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","GR553xy",1992-07-19,"Male","< 6 mo.",1993-01-01,NA,2004-03-15,NA,2004-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","GR489xx",2009-11-16,"Female","< 6 mo.",2010-05-01,NA,2011-02-23,NA,2011-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","GR068xx",2003-08-01,"Female","< 6 mo.",2004-01-15,NA,2012-02-27,NA,2012-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","GR069xx",2001-10-15,"Female","< 6 mo.",2002-03-31,NA,2007-01-04,NA,2007-01-31,"39092",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","GR070xx",2003-03-22,"Female","< 6 mo.",2003-09-05,NA,2007-04-12,NA,2007-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","GR071xx",2005-05-21,"Female","< 6 mo.",2005-11-04,NA,2007-09-28,NA,2012-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","GR491xx",2002-03-27,"Female","< 6 mo.",2002-09-10,NA,2004-11-19,NA,2004-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","GR072xx",1999-05-13,"Female","< 6 mo.",1999-10-28,NA,2002-10-06,NA,2003-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
